"cm","iter","acc","auc"
"svmrad","32",0.545454545454545,0.428571428571429
"rf","32",0.636363636363636,0.607142857142857
"l2","33",0.636363636363636,0.928571428571428
"l1","33",0.727272727272727,0.892857142857143
"svmsig","33",0.727272727272727,0.928571428571428
"svmrad","33",0.909090909090909,0.928571428571428
"rf","33",0.818181818181818,1
"l2","34",0.6,0.75
"l1","34",0.6,0.5
"svmsig","34",0.7,0.708333333333333
"svmrad","34",0.7,0.708333333333333
"rf","34",0.8,0.75
"l2","35",0.583333333333333,0.6
"l1","35",0.666666666666667,0.771428571428571
"svmsig","35",0.75,0.628571428571429
"svmrad","35",0.75,0.628571428571429
"rf","35",0.666666666666667,0.657142857142857
"l2","36",0.5,0.541666666666667
"l1","36",0.6,0.416666666666667
"svmsig","36",0.6,0.625
"svmrad","36",0.6,0.625
"rf","36",0.6,0.541666666666667
"l2","37",0.6,0.833333333333333
"l1","37",0.7,0.708333333333333
"svmsig","37",0.7,0.708333333333333
"svmrad","37",0.7,0.708333333333333
"rf","37",0.7,0.75
"l2","38",0.636363636363636,0.642857142857143
"l1","38",0.636363636363636,0.357142857142857
"svmsig","38",0.636363636363636,0.571428571428571
"svmrad","38",0.636363636363636,0.571428571428571
"rf","38",0.545454545454545,0.5
"l2","39",0.636363636363636,0.535714285714286
"l1","39",0.727272727272727,0.464285714285714
"svmsig","39",0.727272727272727,0.464285714285714
"svmrad","39",0.727272727272727,0.464285714285714
"rf","39",0.636363636363636,0.5
"l2","40",0.666666666666667,0.628571428571429
"l1","40",0.5,0.571428571428571
"svmsig","40",0.666666666666667,0.685714285714286
"svmrad","40",0.666666666666667,0.685714285714286
"rf","40",0.666666666666667,0.8
"l2","41",0.636363636363636,0.642857142857143
"l1","41",0.636363636363636,0.5
"svmsig","41",0.454545454545455,0.607142857142857
"svmrad","41",0.454545454545455,0.607142857142857
"rf","41",0.636363636363636,0.75
"l2","42",0.583333333333333,0.571428571428571
"l1","42",0.583333333333333,0.571428571428571
"svmsig","42",0.666666666666667,0.457142857142857
"svmrad","42",0.666666666666667,0.457142857142857
"rf","42",0.666666666666667,0.628571428571429
"l2","43",0.636363636363636,0.535714285714286
"l1","43",0.636363636363636,0.5
"svmsig","43",0.545454545454545,0.5
"svmrad","43",0.636363636363636,0.5
"rf","43",0.545454545454545,0.607142857142857
"l2","44",0.6,0.5
"l1","44",0.6,0.5
"svmsig","44",0.6,0.791666666666667
"svmrad","44",0.7,0.791666666666667
"rf","44",0.7,0.875
"l2","45",0.7,0.5
"l1","45",0.5,0.75
"svmsig","45",0.6,0.541666666666667
"svmrad","45",0.7,0.541666666666667
"rf","45",0.6,0.583333333333333
"l2","46",0.636363636363636,0.785714285714286
"l1","46",0.636363636363636,0.714285714285714
"svmsig","46",0.545454545454545,0.678571428571429
"svmrad","46",0.727272727272727,0.678571428571429
"rf","46",0.636363636363636,0.732142857142857
"l2","47",0.636363636363636,0.607142857142857
"l1","47",0.636363636363636,0.678571428571429
"svmsig","47",0.454545454545455,0.571428571428571
"svmrad","47",0.454545454545455,0.571428571428571
"rf","47",0.454545454545455,0.464285714285714
"l2","48",0.636363636363636,0.642857142857143
"l1","48",0.727272727272727,0.821428571428572
"svmsig","48",0.545454545454545,0.642857142857143
"svmrad","48",0.545454545454545,0.642857142857143
"rf","48",0.545454545454545,0.571428571428571
"l2","49",0.6,0.875
"l1","49",0.7,0.958333333333333
"svmsig","49",0.7,0.916666666666667
"svmrad","49",0.8,0.916666666666667
"rf","49",0.7,0.791666666666667
"l2","50",0.545454545454545,0.833333333333333
"l1","50",0.545454545454545,0.5
"svmsig","50",0.636363636363636,0.766666666666667
"svmrad","50",0.727272727272727,0.766666666666667
"rf","50",0.636363636363636,1
